Altium Designer Pick and Place Locations
C:\Users\gupta\OneDrive\Desktop\Altium\BACKUP\PCb\ESp_32\Project Outputs for ESp_32\Pick Place\Pick Place for ESP32_USBC_PCB(Prototype).csv

========================================================================================================================
File Design Information:

Date:       25-01-25
Time:       06:29
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R17","10K","TopLayer","RESC1005X37N","1650.534","309.304","90","RES SMD 10K OHM 1% 1/16W 0402"
"R15","5K1","TopLayer","RESC1005X37N","400.000","267.008","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N","400.000","147.008","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","886.373","616.250","0","RES SMD 10K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","385.544","845.187","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","5K1","TopLayer","RESC1005X37N","384.605","730.123","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R10","4K7","TopLayer","RESC1005X37N","886.180","656.736","0","RES 4.7K OHM 1% 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","595.000","595.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","505.000","800.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","27R","TopLayer","RESC1005X37N","505.000","750.000","0","RES 27 OHM 1% 1/16W 0402"
"R4","1K","TopLayer","RESC1005X37N","1790.000","800.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1K","TopLayer","RESC1005X37N","1771.000","220.000","270","RES 1K OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","706.473","510.996","0","RES 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1125.000","812.992","0","TRANS NPN 25V 1.5A SOT23-3"
"J6","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1400.000","500.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HDR_1X24_2.54MM","1500.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","SOD882","320.000","177.205","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","320.031","242.236","270","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","340.000","370.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","322.170","736.864","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","324.504","822.993","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","325.000","630.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED","TopLayer","LED0402R","1730.000","800.000","270","LED RED 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1718.000","218.299","90","LED YLW-GRN 0402 SMD"
"C16","1uF, 35V","TopLayer","CAPC1005X55N","1651.066","221.726","90","CAP CER 1UF 35V X5R 0402"
"C13","10uF, 10V","TopLayer","CAPC1005X55N","535.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uF, 10V","TopLayer","CAPC1005X55N","585.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X55N","585.000","360.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X55N","435.000","370.000","180","CAP CER 0.1UF 50V X7R 0402"
"C9","100nF, 50V","TopLayer","CAPC1005X55N","505.000","855.000","0","CAP CER 0.1UF 50V X7R 0402"
"C8","100nF, 50V","TopLayer","CAPC1005X55N","505.000","695.000","0","CAP CER 0.1UF 50V X7R 0402"
"C6","100nF, 50V","TopLayer","CAPC1005X55N","904.657","793.960","180","CAP CER 0.1UF 50V X7R 0402"
"C5","100nF, 50V","TopLayer","CAPC1005X55N","2645.225","860.819","180","CAP CER 0.1UF 50V X7R 0402"
"C4","100nF, 50V","TopLayer","CAPC1005X55N","2635.000","150.000","0","CAP CER 0.1UF 50V X7R 0402"
"C3","100nF, 50V","TopLayer","CAPC1005X55N","740.163","614.837","180","CAP CER 0.1UF 50V X7R 0402"
"C2","4u7, 16V","TopLayer","CAPC1005X55N","740.000","565.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X55N","419.953","630.530","180","CAP CER 0.1UF 50V X7R 0402"
